node;pid;tid;core_id;sample_count;
LAPTOP-KCN8A1JH;6097;6140;1;44;
LAPTOP-KCN8A1JH;6097;6140;2;33;
LAPTOP-KCN8A1JH;6097;6140;3;42;
LAPTOP-KCN8A1JH;6097;6140;4;19;
LAPTOP-KCN8A1JH;6097;6140;5;38;
LAPTOP-KCN8A1JH;6097;6140;6;17;
LAPTOP-KCN8A1JH;6097;6140;7;33;
LAPTOP-KCN8A1JH;6097;6140;8;16;
LAPTOP-KCN8A1JH;6097;6140;9;44;
LAPTOP-KCN8A1JH;6097;6140;10;22;
LAPTOP-KCN8A1JH;6097;6140;11;44;
LAPTOP-KCN8A1JH;6097;6140;12;28;
LAPTOP-KCN8A1JH;6097;6139;1;29;
LAPTOP-KCN8A1JH;6097;6139;2;21;
LAPTOP-KCN8A1JH;6097;6139;3;29;
LAPTOP-KCN8A1JH;6097;6139;4;15;
LAPTOP-KCN8A1JH;6097;6139;5;43;
LAPTOP-KCN8A1JH;6097;6139;6;19;
LAPTOP-KCN8A1JH;6097;6139;7;37;
LAPTOP-KCN8A1JH;6097;6139;8;31;
LAPTOP-KCN8A1JH;6097;6139;9;33;
LAPTOP-KCN8A1JH;6097;6139;10;20;
LAPTOP-KCN8A1JH;6097;6139;11;39;
LAPTOP-KCN8A1JH;6097;6139;12;24;
LAPTOP-KCN8A1JH;6097;6138;1;44;
LAPTOP-KCN8A1JH;6097;6138;2;22;
LAPTOP-KCN8A1JH;6097;6138;3;47;
LAPTOP-KCN8A1JH;6097;6138;4;14;
LAPTOP-KCN8A1JH;6097;6138;5;47;
LAPTOP-KCN8A1JH;6097;6138;6;20;
LAPTOP-KCN8A1JH;6097;6138;7;48;
LAPTOP-KCN8A1JH;6097;6138;8;28;
LAPTOP-KCN8A1JH;6097;6138;9;42;
LAPTOP-KCN8A1JH;6097;6138;10;20;
LAPTOP-KCN8A1JH;6097;6138;11;38;
LAPTOP-KCN8A1JH;6097;6138;12;23;
LAPTOP-KCN8A1JH;6097;6137;1;39;
LAPTOP-KCN8A1JH;6097;6137;2;16;
LAPTOP-KCN8A1JH;6097;6137;3;44;
LAPTOP-KCN8A1JH;6097;6137;4;15;
LAPTOP-KCN8A1JH;6097;6137;5;35;
LAPTOP-KCN8A1JH;6097;6137;6;20;
LAPTOP-KCN8A1JH;6097;6137;7;40;
LAPTOP-KCN8A1JH;6097;6137;8;16;
LAPTOP-KCN8A1JH;6097;6137;9;45;
LAPTOP-KCN8A1JH;6097;6137;10;22;
LAPTOP-KCN8A1JH;6097;6137;11;34;
LAPTOP-KCN8A1JH;6097;6137;12;28;
LAPTOP-KCN8A1JH;6097;6136;1;56;
LAPTOP-KCN8A1JH;6097;6136;2;26;
LAPTOP-KCN8A1JH;6097;6136;3;30;
LAPTOP-KCN8A1JH;6097;6136;4;10;
LAPTOP-KCN8A1JH;6097;6136;5;42;
LAPTOP-KCN8A1JH;6097;6136;6;21;
LAPTOP-KCN8A1JH;6097;6136;7;35;
LAPTOP-KCN8A1JH;6097;6136;8;15;
LAPTOP-KCN8A1JH;6097;6136;9;37;
LAPTOP-KCN8A1JH;6097;6136;10;23;
LAPTOP-KCN8A1JH;6097;6136;11;42;
LAPTOP-KCN8A1JH;6097;6136;12;24;
LAPTOP-KCN8A1JH;6097;6135;1;44;
LAPTOP-KCN8A1JH;6097;6135;2;14;
LAPTOP-KCN8A1JH;6097;6135;3;35;
LAPTOP-KCN8A1JH;6097;6135;4;13;
LAPTOP-KCN8A1JH;6097;6135;5;36;
LAPTOP-KCN8A1JH;6097;6135;6;21;
LAPTOP-KCN8A1JH;6097;6135;7;47;
LAPTOP-KCN8A1JH;6097;6135;8;37;
LAPTOP-KCN8A1JH;6097;6135;9;33;
LAPTOP-KCN8A1JH;6097;6135;10;19;
LAPTOP-KCN8A1JH;6097;6135;11;36;
LAPTOP-KCN8A1JH;6097;6135;12;23;
LAPTOP-KCN8A1JH;6097;6134;1;38;
LAPTOP-KCN8A1JH;6097;6134;2;21;
LAPTOP-KCN8A1JH;6097;6134;3;38;
LAPTOP-KCN8A1JH;6097;6134;4;18;
LAPTOP-KCN8A1JH;6097;6134;5;47;
LAPTOP-KCN8A1JH;6097;6134;6;16;
LAPTOP-KCN8A1JH;6097;6134;7;42;
LAPTOP-KCN8A1JH;6097;6134;8;19;
LAPTOP-KCN8A1JH;6097;6134;9;30;
LAPTOP-KCN8A1JH;6097;6134;10;22;
LAPTOP-KCN8A1JH;6097;6134;11;46;
LAPTOP-KCN8A1JH;6097;6134;12;16;
LAPTOP-KCN8A1JH;6097;6133;1;29;
LAPTOP-KCN8A1JH;6097;6133;2;30;
LAPTOP-KCN8A1JH;6097;6133;3;42;
LAPTOP-KCN8A1JH;6097;6133;4;14;
LAPTOP-KCN8A1JH;6097;6133;5;38;
LAPTOP-KCN8A1JH;6097;6133;6;32;
LAPTOP-KCN8A1JH;6097;6133;7;41;
LAPTOP-KCN8A1JH;6097;6133;8;18;
LAPTOP-KCN8A1JH;6097;6133;9;34;
LAPTOP-KCN8A1JH;6097;6133;10;27;
LAPTOP-KCN8A1JH;6097;6133;11;36;
LAPTOP-KCN8A1JH;6097;6133;12;21;
LAPTOP-KCN8A1JH;6097;6132;1;41;
LAPTOP-KCN8A1JH;6097;6132;2;31;
LAPTOP-KCN8A1JH;6097;6132;3;43;
LAPTOP-KCN8A1JH;6097;6132;4;21;
LAPTOP-KCN8A1JH;6097;6132;5;45;
LAPTOP-KCN8A1JH;6097;6132;6;16;
LAPTOP-KCN8A1JH;6097;6132;7;43;
LAPTOP-KCN8A1JH;6097;6132;8;22;
LAPTOP-KCN8A1JH;6097;6132;9;44;
LAPTOP-KCN8A1JH;6097;6132;10;27;
LAPTOP-KCN8A1JH;6097;6132;11;41;
LAPTOP-KCN8A1JH;6097;6132;12;29;
LAPTOP-KCN8A1JH;6097;6131;1;36;
LAPTOP-KCN8A1JH;6097;6131;2;23;
LAPTOP-KCN8A1JH;6097;6131;3;40;
LAPTOP-KCN8A1JH;6097;6131;4;11;
LAPTOP-KCN8A1JH;6097;6131;5;32;
LAPTOP-KCN8A1JH;6097;6131;6;22;
LAPTOP-KCN8A1JH;6097;6131;7;50;
LAPTOP-KCN8A1JH;6097;6131;8;23;
LAPTOP-KCN8A1JH;6097;6131;9;39;
LAPTOP-KCN8A1JH;6097;6131;10;22;
LAPTOP-KCN8A1JH;6097;6131;11;49;
LAPTOP-KCN8A1JH;6097;6131;12;30;
LAPTOP-KCN8A1JH;6097;6130;1;35;
LAPTOP-KCN8A1JH;6097;6130;2;20;
LAPTOP-KCN8A1JH;6097;6130;3;46;
LAPTOP-KCN8A1JH;6097;6130;4;21;
LAPTOP-KCN8A1JH;6097;6130;5;37;
LAPTOP-KCN8A1JH;6097;6130;6;11;
LAPTOP-KCN8A1JH;6097;6130;7;41;
LAPTOP-KCN8A1JH;6097;6130;8;38;
LAPTOP-KCN8A1JH;6097;6130;9;38;
LAPTOP-KCN8A1JH;6097;6130;10;27;
LAPTOP-KCN8A1JH;6097;6130;11;25;
LAPTOP-KCN8A1JH;6097;6130;12;13;
LAPTOP-KCN8A1JH;6097;6110;1;37;
LAPTOP-KCN8A1JH;6097;6110;2;21;
LAPTOP-KCN8A1JH;6097;6110;3;30;
LAPTOP-KCN8A1JH;6097;6110;4;22;
LAPTOP-KCN8A1JH;6097;6110;5;42;
LAPTOP-KCN8A1JH;6097;6110;6;23;
LAPTOP-KCN8A1JH;6097;6110;7;33;
LAPTOP-KCN8A1JH;6097;6110;8;23;
LAPTOP-KCN8A1JH;6097;6110;9;41;
LAPTOP-KCN8A1JH;6097;6110;10;19;
LAPTOP-KCN8A1JH;6097;6110;11;36;
LAPTOP-KCN8A1JH;6097;6110;12;26;
LAPTOP-KCN8A1JH;6097;6121;1;36;
LAPTOP-KCN8A1JH;6097;6121;2;29;
LAPTOP-KCN8A1JH;6097;6121;3;34;
LAPTOP-KCN8A1JH;6097;6121;4;17;
LAPTOP-KCN8A1JH;6097;6121;5;44;
LAPTOP-KCN8A1JH;6097;6121;6;25;
LAPTOP-KCN8A1JH;6097;6121;7;38;
LAPTOP-KCN8A1JH;6097;6121;8;21;
LAPTOP-KCN8A1JH;6097;6121;9;40;
LAPTOP-KCN8A1JH;6097;6121;10;17;
LAPTOP-KCN8A1JH;6097;6121;11;48;
LAPTOP-KCN8A1JH;6097;6121;12;19;
LAPTOP-KCN8A1JH;6097;6128;1;32;
LAPTOP-KCN8A1JH;6097;6128;2;25;
LAPTOP-KCN8A1JH;6097;6128;3;43;
LAPTOP-KCN8A1JH;6097;6128;4;18;
LAPTOP-KCN8A1JH;6097;6128;5;37;
LAPTOP-KCN8A1JH;6097;6128;6;15;
LAPTOP-KCN8A1JH;6097;6128;7;40;
LAPTOP-KCN8A1JH;6097;6128;8;14;
LAPTOP-KCN8A1JH;6097;6128;9;37;
LAPTOP-KCN8A1JH;6097;6128;10;21;
LAPTOP-KCN8A1JH;6097;6128;11;49;
LAPTOP-KCN8A1JH;6097;6128;12;25;
LAPTOP-KCN8A1JH;6097;6124;1;42;
LAPTOP-KCN8A1JH;6097;6124;2;29;
LAPTOP-KCN8A1JH;6097;6124;3;40;
LAPTOP-KCN8A1JH;6097;6124;4;10;
LAPTOP-KCN8A1JH;6097;6124;5;36;
LAPTOP-KCN8A1JH;6097;6124;6;15;
LAPTOP-KCN8A1JH;6097;6124;7;40;
LAPTOP-KCN8A1JH;6097;6124;8;30;
LAPTOP-KCN8A1JH;6097;6124;9;39;
LAPTOP-KCN8A1JH;6097;6124;10;28;
LAPTOP-KCN8A1JH;6097;6124;11;40;
LAPTOP-KCN8A1JH;6097;6124;12;22;
LAPTOP-KCN8A1JH;6097;6127;1;37;
LAPTOP-KCN8A1JH;6097;6127;2;19;
LAPTOP-KCN8A1JH;6097;6127;3;44;
LAPTOP-KCN8A1JH;6097;6127;4;15;
LAPTOP-KCN8A1JH;6097;6127;5;39;
LAPTOP-KCN8A1JH;6097;6127;6;25;
LAPTOP-KCN8A1JH;6097;6127;7;37;
LAPTOP-KCN8A1JH;6097;6127;8;21;
LAPTOP-KCN8A1JH;6097;6127;9;45;
LAPTOP-KCN8A1JH;6097;6127;10;30;
LAPTOP-KCN8A1JH;6097;6127;11;39;
LAPTOP-KCN8A1JH;6097;6127;12;33;
LAPTOP-KCN8A1JH;6097;6126;1;34;
LAPTOP-KCN8A1JH;6097;6126;2;19;
LAPTOP-KCN8A1JH;6097;6126;3;45;
LAPTOP-KCN8A1JH;6097;6126;4;13;
LAPTOP-KCN8A1JH;6097;6126;5;47;
LAPTOP-KCN8A1JH;6097;6126;6;28;
LAPTOP-KCN8A1JH;6097;6126;7;42;
LAPTOP-KCN8A1JH;6097;6126;8;21;
LAPTOP-KCN8A1JH;6097;6126;9;39;
LAPTOP-KCN8A1JH;6097;6126;10;31;
LAPTOP-KCN8A1JH;6097;6126;11;41;
LAPTOP-KCN8A1JH;6097;6126;12;19;
LAPTOP-KCN8A1JH;6097;6125;1;32;
LAPTOP-KCN8A1JH;6097;6125;2;23;
LAPTOP-KCN8A1JH;6097;6125;3;31;
LAPTOP-KCN8A1JH;6097;6125;4;26;
LAPTOP-KCN8A1JH;6097;6125;5;43;
LAPTOP-KCN8A1JH;6097;6125;6;23;
LAPTOP-KCN8A1JH;6097;6125;7;45;
LAPTOP-KCN8A1JH;6097;6125;8;17;
LAPTOP-KCN8A1JH;6097;6125;9;47;
LAPTOP-KCN8A1JH;6097;6125;10;22;
LAPTOP-KCN8A1JH;6097;6125;11;50;
LAPTOP-KCN8A1JH;6097;6125;12;20;
LAPTOP-KCN8A1JH;6097;6115;1;43;
LAPTOP-KCN8A1JH;6097;6115;2;16;
LAPTOP-KCN8A1JH;6097;6115;3;46;
LAPTOP-KCN8A1JH;6097;6115;4;16;
LAPTOP-KCN8A1JH;6097;6115;5;37;
LAPTOP-KCN8A1JH;6097;6115;6;14;
LAPTOP-KCN8A1JH;6097;6115;7;46;
LAPTOP-KCN8A1JH;6097;6115;8;22;
LAPTOP-KCN8A1JH;6097;6115;9;41;
LAPTOP-KCN8A1JH;6097;6115;10;19;
LAPTOP-KCN8A1JH;6097;6115;11;46;
LAPTOP-KCN8A1JH;6097;6115;12;23;
LAPTOP-KCN8A1JH;6097;6116;1;33;
LAPTOP-KCN8A1JH;6097;6116;2;25;
LAPTOP-KCN8A1JH;6097;6116;3;28;
LAPTOP-KCN8A1JH;6097;6116;4;14;
LAPTOP-KCN8A1JH;6097;6116;5;38;
LAPTOP-KCN8A1JH;6097;6116;6;20;
LAPTOP-KCN8A1JH;6097;6116;7;32;
LAPTOP-KCN8A1JH;6097;6116;8;21;
LAPTOP-KCN8A1JH;6097;6116;9;36;
LAPTOP-KCN8A1JH;6097;6116;10;16;
LAPTOP-KCN8A1JH;6097;6116;11;45;
LAPTOP-KCN8A1JH;6097;6116;12;26;
LAPTOP-KCN8A1JH;6097;6114;1;48;
LAPTOP-KCN8A1JH;6097;6114;2;16;
LAPTOP-KCN8A1JH;6097;6114;3;54;
LAPTOP-KCN8A1JH;6097;6114;4;13;
LAPTOP-KCN8A1JH;6097;6114;5;36;
LAPTOP-KCN8A1JH;6097;6114;6;18;
LAPTOP-KCN8A1JH;6097;6114;7;40;
LAPTOP-KCN8A1JH;6097;6114;8;25;
LAPTOP-KCN8A1JH;6097;6114;9;52;
LAPTOP-KCN8A1JH;6097;6114;10;22;
LAPTOP-KCN8A1JH;6097;6114;11;45;
LAPTOP-KCN8A1JH;6097;6114;12;25;
LAPTOP-KCN8A1JH;6097;6113;1;44;
LAPTOP-KCN8A1JH;6097;6113;2;24;
LAPTOP-KCN8A1JH;6097;6113;3;38;
LAPTOP-KCN8A1JH;6097;6113;4;27;
LAPTOP-KCN8A1JH;6097;6113;5;37;
LAPTOP-KCN8A1JH;6097;6113;6;16;
LAPTOP-KCN8A1JH;6097;6113;7;32;
LAPTOP-KCN8A1JH;6097;6113;8;18;
LAPTOP-KCN8A1JH;6097;6113;9;42;
LAPTOP-KCN8A1JH;6097;6113;10;24;
LAPTOP-KCN8A1JH;6097;6113;11;38;
LAPTOP-KCN8A1JH;6097;6113;12;24;
LAPTOP-KCN8A1JH;6097;6097;1;234;
LAPTOP-KCN8A1JH;6097;6097;2;504;
LAPTOP-KCN8A1JH;6097;6097;3;185;
LAPTOP-KCN8A1JH;6097;6097;4;1551;
LAPTOP-KCN8A1JH;6097;6097;5;222;
LAPTOP-KCN8A1JH;6097;6097;6;435;
LAPTOP-KCN8A1JH;6097;6097;7;197;
LAPTOP-KCN8A1JH;6097;6097;8;189;
LAPTOP-KCN8A1JH;6097;6097;9;195;
LAPTOP-KCN8A1JH;6097;6097;10;318;
LAPTOP-KCN8A1JH;6097;6097;11;214;
LAPTOP-KCN8A1JH;6097;6097;12;145;
LAPTOP-KCN8A1JH;6097;6112;1;28;
LAPTOP-KCN8A1JH;6097;6112;2;18;
LAPTOP-KCN8A1JH;6097;6112;3;33;
LAPTOP-KCN8A1JH;6097;6112;4;18;
LAPTOP-KCN8A1JH;6097;6112;5;40;
LAPTOP-KCN8A1JH;6097;6112;6;24;
LAPTOP-KCN8A1JH;6097;6112;7;34;
LAPTOP-KCN8A1JH;6097;6112;8;19;
LAPTOP-KCN8A1JH;6097;6112;9;40;
LAPTOP-KCN8A1JH;6097;6112;10;21;
LAPTOP-KCN8A1JH;6097;6112;11;39;
LAPTOP-KCN8A1JH;6097;6112;12;20;
LAPTOP-KCN8A1JH;6097;6119;1;37;
LAPTOP-KCN8A1JH;6097;6119;2;18;
LAPTOP-KCN8A1JH;6097;6119;3;41;
LAPTOP-KCN8A1JH;6097;6119;4;15;
LAPTOP-KCN8A1JH;6097;6119;5;36;
LAPTOP-KCN8A1JH;6097;6119;6;15;
LAPTOP-KCN8A1JH;6097;6119;7;38;
LAPTOP-KCN8A1JH;6097;6119;8;20;
LAPTOP-KCN8A1JH;6097;6119;9;30;
LAPTOP-KCN8A1JH;6097;6119;10;25;
LAPTOP-KCN8A1JH;6097;6119;11;29;
LAPTOP-KCN8A1JH;6097;6119;12;24;
LAPTOP-KCN8A1JH;6097;6117;1;42;
LAPTOP-KCN8A1JH;6097;6117;2;15;
LAPTOP-KCN8A1JH;6097;6117;3;41;
LAPTOP-KCN8A1JH;6097;6117;4;21;
LAPTOP-KCN8A1JH;6097;6117;5;41;
LAPTOP-KCN8A1JH;6097;6117;6;15;
LAPTOP-KCN8A1JH;6097;6117;7;43;
LAPTOP-KCN8A1JH;6097;6117;8;24;
LAPTOP-KCN8A1JH;6097;6117;9;48;
LAPTOP-KCN8A1JH;6097;6117;10;21;
LAPTOP-KCN8A1JH;6097;6117;11;41;
LAPTOP-KCN8A1JH;6097;6117;12;33;
LAPTOP-KCN8A1JH;6097;6118;1;48;
LAPTOP-KCN8A1JH;6097;6118;2;17;
LAPTOP-KCN8A1JH;6097;6118;3;37;
LAPTOP-KCN8A1JH;6097;6118;4;25;
LAPTOP-KCN8A1JH;6097;6118;5;41;
LAPTOP-KCN8A1JH;6097;6118;6;19;
LAPTOP-KCN8A1JH;6097;6118;7;41;
LAPTOP-KCN8A1JH;6097;6118;8;23;
LAPTOP-KCN8A1JH;6097;6118;9;35;
LAPTOP-KCN8A1JH;6097;6118;10;21;
LAPTOP-KCN8A1JH;6097;6118;11;35;
LAPTOP-KCN8A1JH;6097;6118;12;17;
LAPTOP-KCN8A1JH;6097;6111;1;30;
LAPTOP-KCN8A1JH;6097;6111;2;22;
LAPTOP-KCN8A1JH;6097;6111;3;35;
LAPTOP-KCN8A1JH;6097;6111;4;20;
LAPTOP-KCN8A1JH;6097;6111;5;46;
LAPTOP-KCN8A1JH;6097;6111;6;19;
LAPTOP-KCN8A1JH;6097;6111;7;36;
LAPTOP-KCN8A1JH;6097;6111;8;24;
LAPTOP-KCN8A1JH;6097;6111;9;48;
LAPTOP-KCN8A1JH;6097;6111;10;15;
LAPTOP-KCN8A1JH;6097;6111;11;32;
LAPTOP-KCN8A1JH;6097;6111;12;25;
LAPTOP-KCN8A1JH;6097;6120;1;37;
LAPTOP-KCN8A1JH;6097;6120;2;21;
LAPTOP-KCN8A1JH;6097;6120;3;37;
LAPTOP-KCN8A1JH;6097;6120;4;18;
LAPTOP-KCN8A1JH;6097;6120;5;40;
LAPTOP-KCN8A1JH;6097;6120;6;17;
LAPTOP-KCN8A1JH;6097;6120;7;45;
LAPTOP-KCN8A1JH;6097;6120;8;27;
LAPTOP-KCN8A1JH;6097;6120;9;24;
LAPTOP-KCN8A1JH;6097;6120;10;20;
LAPTOP-KCN8A1JH;6097;6120;11;33;
LAPTOP-KCN8A1JH;6097;6120;12;21;
LAPTOP-KCN8A1JH;6097;6129;1;55;
LAPTOP-KCN8A1JH;6097;6129;2;16;
LAPTOP-KCN8A1JH;6097;6129;3;52;
LAPTOP-KCN8A1JH;6097;6129;4;18;
LAPTOP-KCN8A1JH;6097;6129;5;51;
LAPTOP-KCN8A1JH;6097;6129;6;20;
LAPTOP-KCN8A1JH;6097;6129;7;35;
LAPTOP-KCN8A1JH;6097;6129;8;20;
LAPTOP-KCN8A1JH;6097;6129;9;37;
LAPTOP-KCN8A1JH;6097;6129;10;31;
LAPTOP-KCN8A1JH;6097;6129;11;27;
LAPTOP-KCN8A1JH;6097;6129;12;26;
LAPTOP-KCN8A1JH;6097;6123;1;44;
LAPTOP-KCN8A1JH;6097;6123;2;19;
LAPTOP-KCN8A1JH;6097;6123;3;41;
LAPTOP-KCN8A1JH;6097;6123;4;21;
LAPTOP-KCN8A1JH;6097;6123;5;41;
LAPTOP-KCN8A1JH;6097;6123;6;13;
LAPTOP-KCN8A1JH;6097;6123;7;28;
LAPTOP-KCN8A1JH;6097;6123;8;23;
LAPTOP-KCN8A1JH;6097;6123;9;36;
LAPTOP-KCN8A1JH;6097;6123;10;18;
LAPTOP-KCN8A1JH;6097;6123;11;36;
LAPTOP-KCN8A1JH;6097;6123;12;25;
LAPTOP-KCN8A1JH;6097;6122;1;44;
LAPTOP-KCN8A1JH;6097;6122;2;27;
LAPTOP-KCN8A1JH;6097;6122;3;32;
LAPTOP-KCN8A1JH;6097;6122;4;18;
LAPTOP-KCN8A1JH;6097;6122;5;35;
LAPTOP-KCN8A1JH;6097;6122;6;19;
LAPTOP-KCN8A1JH;6097;6122;7;45;
LAPTOP-KCN8A1JH;6097;6122;8;22;
LAPTOP-KCN8A1JH;6097;6122;9;43;
LAPTOP-KCN8A1JH;6097;6122;10;17;
LAPTOP-KCN8A1JH;6097;6122;11;42;
LAPTOP-KCN8A1JH;6097;6122;12;19;
