Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;592464;21.944993972778;0.14042274126526;96.126121520996;0.0063828518756936;1747595838;16.518810609307;23.188897729939;466346;4.4360802623111;26.929256846998;28.748363853237;15666.978013513;0;0;1747595742;0;0.031914259378468;
LAPTOP-KCN8A1JH;_ALL;_ALL;0;592464;21.944993972778;0.14042274126526;96.126121520996;0.0063828518756936;1747595838;16.518810609307;23.188897729939;466346;4.4360802623111;26.929256846998;28.748363853237;15666.978013513;0;0;1747595742;0;0.031914259378468;
LAPTOP-KCN8A1JH;6097;_ALL;0;592464;21.944993972778;0.14042274126526;96.126121520996;0.0063828518756936;1747595838;16.518810609307;23.188897729939;466346;4.4360802623111;26.929256846998;28.748363853237;15666.978013513;0;0;1747595742;0;0.031914259378468;
LAPTOP-KCN8A1JH;6097;6122;0;592653;1.8149973154068;0;94.004219055176;0;1747595838;0;25.619872133577;588437;0;35.537251037676;38.84303818711;362.99949953816;3.7400200366974;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6123;0;592782;1.7249970436096;0;94.004272460938;0;1747595838;0;25.79714516157;588513;0;40.869640245143;33.333400412767;344.99943891168;2.2040688991547;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6129;0.0017709999810904;597082;1.9399956464767;0.77319756769971;94.008125305176;0;1747595838;0;29.123777217419;588958;0;33.247498183339;36.855763076139;387.99915122924;24.264268875122;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6120;0;592806;1.6999975442886;0.29411803752123;94.004516601563;0;1747595838;0;26.176511954242;588287;0;39.411820536593;34.117703626473;339.99954862606;4.7139701843262;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6111;0;592412;1.759996175766;0;94.004699707031;0;1747595838;0;26.136421377917;587709;0;38.352364536949;35.511453213555;351.99925527211;5.1589031219482;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6118;0;592412;1.7949970960617;0.27855196101463;94.004280090332;0;1747595838;0;28.412304490541;588135;0;32.869136248109;38.440183585357;358.99944712559;3.2104680538177;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6117;0;592412;1.9249957799911;0;94.004341125488;0;1747595838;0;32.207863673431;588068;0;35.065012817832;32.727351283955;384.99918701842;3.8698689937592;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6119;0;592616;1.6399973630905;0.60975704283344;94.004409790039;0;1747595838;0;26.524434523373;588207;0;35.670794816616;37.195190464568;327.99949151982;2.3751540184021;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6112;0;592412;1.6699966192245;0;94.00463104248;0;1747595838;0;25.149749462823;587780;0;37.724631864782;37.125832627971;333.99934484285;12.28214263916;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6131;0;592508;1.8849956989288;0;94.003402709961;0;1747595838;0;28.116775904064;589108;0;40.848901706993;31.03456080763;376.99918232476;3.0133008956909;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6113;0;592413;1.8199961185455;0.54945166297683;94.004585266113;0;1747595838;0;31.044021698316;587831;0;35.714364487119;32.417657732934;363.9992623126;1.4158610105515;0;1747595744;0;0.27472583148842;
LAPTOP-KCN8A1JH;6097;6110;0;592412;1.7649967670441;0.28328660567169;94.004776000977;0;1747595838;0;30.028384300959;587633;0;36.543977893473;33.144544331836;352.9993935396;0.78261601924896;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6114;0;592412;1.9699956178665;0.25380765109403;94.004524230957;0;1747595838;0;27.665034515256;587887;0;35.533078151979;36.548314464608;393.99915474949;4.3650808334351;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6128;0;592691;1.7799968719482;0;94.003807067871;0;1747595838;0;23.314647996122;588886;0;35.674222852897;41.011317963565;355.99940781616;4.9680438041687;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6124;0;592512;1.8549953699112;0.53908486031962;94.003929138184;0;1747595838;0;30.188755973323;588586;0;33.962351207987;35.310068946494;370.9991037059;4.8052377700806;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6116;0;592412;1.6699973344803;0;94.004402160645;0;1747595838;0;26.946151919248;588007;0;38.323413692154;34.7306005642;333.99949504007;3.7569861412048;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6115;0;592412;1.8449960947037;0;94.004463195801;0;1747595838;0;26.558320532511;587948;0;36.856449986496;36.585452080646;368.99925272971;4.6820778846741;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6125;0;592509;1.8949964046478;0;94.003845214844;0;1747595838;0;29.023800986072;588666;0;36.939392511565;34.037013114738;378.99930866253;11.344656944275;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6126;0;592602;1.8949954509735;0;94.003860473633;0;1747595838;0;27.440698051441;588738;0;35.620137826494;36.939410467704;378.99913343243;14.549055099487;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6134;0;592646;1.7649977207184;0.28328646504733;94.003318786621;0;1747595838;0;24.079350581664;589325;0;39.943395837638;35.694104734555;352.9995687697;2.4006049633026;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6121;0;592760;1.8399958610535;0;94.00439453125;0;1747595838;0;25.00005739546;588363;0;39.130523770989;35.869652613764;367.99921459369;3.3025140762329;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6133;0;592652;1.8099966049194;0;94.003395080566;0;1747595838;0;31.768015149546;589254;0;35.359184840395;32.872997686668;361.99936127067;2.9183230400085;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6136;0;592659;1.8049963712692;0;94.003196716309;0;1747595838;0;29.362944803246;589466;0;35.457135306342;35.180134475315;360.99929810178;2.0313320159912;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6137;0;592745;1.7699967622757;0;94.003204345703;0;1747595838;0;29.661069812696;589539;0;33.615886715492;36.723239372927;353.99938160988;2.6420950889587;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6138;0;592602;1.9649957418442;0.25445344954618;94.002990722656;0;1747595838;0;28.753242535699;589608;0;36.895761530224;34.09677348569;392.99919171209;4.6925868988037;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6139;0;592708;1.699996471405;0;94.003028869629;0;1747595838;0;28.529468026519;589680;0;31.470654089496;40.000092492959;339.99932333022;3.0272109508514;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6132;0;592541;2.0149953365326;0.49627899626419;94.003356933594;0;1747595838;0;27.295347220954;589181;0;35.483955560688;36.72465872918;402.99912248055;6.6574258804321;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6097;10.948950767517;592464;21.944993972778;0;96.126121520996;0.022784237811117;1747595838;58.965571598565;11.346532445934;466346;15.835038884514;2.5290505930935;11.209812078444;4388.9991330413;0.23308199644089;0;1747595742;0;0.091136951244469;
LAPTOP-KCN8A1JH;6097;6130;0;592550;1.7599965333939;0;94.003517150879;0;1747595838;0;29.829604590127;589030;0;34.375070838446;35.795533864311;351.99933037072;3.1607298851013;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6135;0;592683;1.7899966239929;0.27933010913931;94.003288269043;0;1747595838;0;27.653683481583;589396;0;37.150906427523;34.916274513465;357.99935892384;6.6325759887695;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6127;0;592586;1.9199966192245;0.26041710805646;94.003776550293;0;1747595838;0;27.864630205534;588810;0;36.458406128696;35.41673769647;383.99934914537;1.8187930583954;0;1747595744;0;0;
LAPTOP-KCN8A1JH;6097;6140;0;592507;1.8999963998795;0.78947509328713;94.002754211426;0;1747595838;0;25.526366444721;589754;0;39.473767324918;34.210597977709;379.99932176567;9.9566993713379;0;1747595744;0;0;
